food_code,food_name,primarysource,secondarysource,Primary food group,food_group_nin,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g
F041,Song,ifct2004,,,Roots and tubers,560.66,134,30.9,2.3,0.1,0,0.7
F042,Turum sanga,ifct2004,,,Roots and tubers,514.63,123,28,1.9,0.4,0,1.6
F043,"Water lily, red",ifct2004,,,Roots and tubers,807.51,193,43.3,4.1,0.3,0,1.5
F044,"Water lily, white",ifct2004,,,Roots and tubers,594.13,142,31.7,3.1,0.3,0,1.1
F501,"Turnip, flesh only, raw",ukfct,,,,98,23,4.7,0.9,0.3,4.5,0
G001,"Chillies, green-1 (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,191,45.65,6.32,2.62,0.73,0.71,4.86
G002,"Chillies, green-2 (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,167,39.91,5.27,2.28,0.75,1.05,5.13
G003,"Chillies, green-3 (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,169,40.39,5.23,2.38,0.75,0.54,5.1
G004,"Chillies, green-4 (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,190,45.41,6.63,2.33,0.74,0.62,4.15
G005,"Chillies, green-5 (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,180,43.02,6.64,2.01,0.65,0.46,3.95
G006,"Chillies, green-6 (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,175,41.83,5.31,3.01,0.64,0.59,5.15
G007,"Chillies, green-7 (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,163,38.96,5.61,2.12,0.6,0.73,4.95
G008,"Chillies, green - all varieties (Capsicum annum)",ifct2017,,,Condiments and spices-fresh,177,42.3,5.86,2.36,0.72,0.67,4.77
G009,Coriander leaves (Coriandrum sativum),ifct2017,ukfct,,Condiments and spices-fresh,130,31.07,1.93,3.52,0.7,0.17,4.66
G010,Curry leaves (Murraya koenigii),ifct2017,ukfct,,Condiments and spices-fresh,266,63.57,4.51,7.41,1.06,0.6,16.83
G011,"Garlic, big clove (Allium sativum)",ifct2017,ukfct,,Condiments and spices-fresh,518,123.8,21.93,6.92,0.16,5.97,5.22
G012,"Garlic, small clove (Allium sativum)",ifct2017,ukfct,,Condiments and spices-fresh,514,122.85,21.84,6.75,0.14,4.84,5.47
G013,"Garlic, single clove, Kashmir (Allium sativum)",ifct2017,ukfct,,Condiments and spices-fresh,523,125,23.46,6.12,0.16,3.73,4.01
G014,"Ginger, fresh (Zingiber officinale)",ifct2017,ukfct,,Condiments and spices-fresh,230,54.97,8.97,2.22,0.85,1.31,5.36
G015,Mango ginger (Curcuma amada),ifct2017,,,Condiments and spices-fresh,177,42.3,6.98,1.45,0.7,2.42,4.74
G016,Mint leaves (Mentha spicata ),ifct2017,ukfct,,Condiments and spices-fresh,155,37.05,2.39,4.66,0.65,0.08,5.89
G017,"Onion, big (Allium cepa)",ifct2017,ukfct,,Condiments and spices-fresh,201,48.04,9.56,1.5,0.24,5.88,2.45
G018,"Onion, small (Allium cepa)",ifct2017,ukfct,,Condiments and spices-fresh,237,56.64,11.58,1.82,0.16,5.62,1.16
G019,Asafoetida (Ferula assa-foetida),ifct2017,ukfct,,Condiments and spices-dry,1387,331.49,71.95,6.34,1.26,0.93,5.13
G020,"Cardamom, green (Elettaria cardamomum)",ifct2017,,,Condiments and spices-dry,1067,255.01,47.76,8.1,2.6,4.28,23.1
G021,"Cardamom, black (Elettaria cardamomum)",ifct2017,,,Condiments and spices-dry,1132,270.55,52.53,6.69,2.8,2.3,23.46
G022,"Chillies, red (Capsicum annum)",ifct2017,,,Condiments and spices-dry,990,236.61,29.46,12.69,6.4,4.7,31.15
G023,Cloves (Syzygium aromaticum),ifct2017,ukfct,,Condiments and spices-dry,781,186.66,18.73,5.86,8.41,2.1,34.52
G024,Coriander seeds (Coriandrum sativum),ifct2017,ukfct,,Condiments and spices-dry,1125,268.88,12.98,10.66,17.47,2.38,44.81
G025,Cumin seeds (Cuminum cyminum),ifct2017,ukfct,,Condiments and spices-dry,1274,304.49,22.62,13.91,16.64,1.38,30.35
G026,Fenugreek seeds (Trigonella foenum graecum),ifct2017,ukfct,,Condiments and spices-dry,983,234.94,10.57,25.41,5.72,0.55,47.55
G027,Mace (Myristica fragrans),ifct2017,ukfct,,Condiments and spices-dry,1488,355.63,26.51,6.24,24.41,0.85,20.31
G028,Nutmeg (Myristica fragrans),ifct2017,,,Condiments and spices-dry,1940,463.66,27.64,6.3,36.52,1.08,11.99
G029,Omum (Trachyspermum ammi),ifct2017,,,Condiments and spices-dry,1495,357.31,24.53,15.89,21.11,2.76,20.58
G030,Pippali (Piper longum),ifct2017,,,Condiments and spices-dry,906,216.53,35.7,10.53,2.27,2.75,34.14
G031,"Pepper, black (Piper nigrum)",ifct2017,ukfct,,Condiments and spices-dry,910,217.49,36.22,10.12,2.74,0.32,33.16
G032,Poppy seeds (Papaver somniferum),ifct2017,ukfct,,Condiments and spices-dry,1768,422.55,12.37,20.31,30.38,1.85,26.68
G033,Turmeric powder (Curcuma domestica),ifct2017,ukfct,,Condiments and spices-dry,1174,280.59,49.22,7.66,5.03,1.23,21.38
G034,Arisithippili,ifct2004,,,Condiments and spices-dry,1376.54,329,58.4,13.2,4.7,0,5.2
G035,Chillies dry,ifct2004,,,Condiments and spices-dry,1029.26,246,31.6,15.9,6.2,0,30.2
G036,Cloves green,ifct2004,,,Condiments and spices-dry,665.26,159,24.1,2.3,5.9,0,0
G037,Garlic dry,ifct2004,,,Condiments and spices-dry,606.68,145,29.8,6.3,0.1,0,0.8
G038,Lime peel,ifct2004,,,Condiments and spices-dry,539.74,129,29.4,1.8,0.5,0,0
G039,Mango powder,ifct2004,,,Condiments and spices-dry,1410.01,337,64,2.8,7.8,0,13.7
G040,Nutmeg fruit,ifct2004,,,Condiments and spices-dry,1974.85,472,28.5,7.5,36.4,0,11.6
G041,Nutmeg rind,ifct2004,,,Condiments and spices-dry,217.57,52,11.2,1,0.4,0,0
G042,Pepper green,ifct2004,,,Condiments and spices-fresh,410.03,98,13.7,4.8,2.7,0,6.4
G501,"Spring onions, bulbs only, raw",ukfct,,,,151,35,8.5,0.9,0,8.5,0
G509,"Agar, dried",ukfct,,,,67,16,0,1.3,1.2,0,0
G510,Fennel seeds,ukfct,,,,0,0,0,15.8,14.9,0,0
G511,"Basil, dried, ground",ukfct,,,,1051,251,43.2,14.4,4,0,0
G512,"Bay leaf, dried",ukfct,,,,1312,313,48.6,7.6,8.4,0,0
G513,Sesame seeds,ukfct,,,,2470,598,0.9,18.2,58,0.4,0
G515,Mixed curry spices,ukfct,,,,0,0,0,13.2,13.3,0,0
G516,Chilli powder,ukfct,,,,0,0,0,13.5,14.3,7.2,34.8
G517,Chilli sauce,ukfct,,,,169,40,7.3,1.3,0.8,6.9,2.2
G518,"Cinnamon, ground",ukfct,,,,0,0,0,4,1.2,2.2,53.1
G520,Curry powder,ukfct,,,,979,233,26.1,9.5,10.8,0,0
G521,"Mixed herbs, dried",ukfct,,,,1092,261,36.3,12.1,8.5,0,0
G523,Garam masala,ukfct,,,,1592,379,45.2,15.6,15.1,0,0
G524,Garlic powder,ukfct,,,,1045,246,42.7,18.7,1.2,4.2,0
G525,"Rosemary, dried",ukfct,,,,1387,331,46.4,4.9,15.2,0,42.6
G526,"Oregano, dried, ground",ukfct,,,,0,0,0,9,4.3,4.1,42.5
G527,"Pepper, white",ukfct,,,,0,0,0,10.4,2.1,0,26.2
G528,Salt,ukfct,,,,0,0,0,0,0,0,0
G529,Saffron,ukfct,,,,1298,310,61.5,11.4,5.9,42.4,0
G531,"Thyme, dried, ground",ukfct,,,,1156,276,45.3,9.1,7.4,1.7,37
G532,Vinegar,ukfct,,,,89,22,0.6,0.4,0,0.6,0
G533,Mustard powder,ukfct,,,,1884,452,20.7,28.9,28.7,0,0
G534,Yeast extract,ukfct,,,,763,180,3.5,40.7,0.4,1.6,0
G535,"SIVA'S, AMHUR POWDER (DRY MANGO POWDER)",usda,,,,1506.24,360,90,0,0,0,20
G536,AJWAIN SEED WHOLE ORGANIC SPICES,usda,,,,995.79,238,47.62,23.81,0,0,47.6
G537,STAR ANISE,usda,,,,0,0,0,0,0,0,0
G538,"Vinegar, distilled",usda,,,,76,18,0.04,0,0,0.04,0
G539,BALSAMIC VINEGAR,usda,,,,418.4,100,20,0,0,20,0
G540,HIMALAYAN BLACK SALT,usda,,,,0,0,0,0,0,0,0
G541,MSG MONOSODIUM GLUTAMATE,usda,,,,0,0,0,0,0,0,0
G542,"Capers, canned",usda,,,,96,23,4.89,2.36,0.86,0.41,3.2
G543,RICE VINEGAR,usda,,,,0,0,0,0,0,0,0
G544,Vanilla extract,usda,,,,1200,288,12.6,0.06,0.06,12.6,0
G545,Paprika,ukfct,,,,0,0,0,14.1,12.9,10.3,34.9
G546,"Shallots, raw",ukfct,,,,86,20,3.3,1.5,0.2,3.3,0
G547,"Spring onions, bulbs and tops, raw",ukfct,,,,98,23,3,2,0.5,2.8,0
G548,"GINGER JUICE, GINGER",usda,,,,280.33,67,16.67,0,0,0,0
G549,"Peppers, jalapeno, raw",usda,,,,119,29,6.5,0.91,0.37,4.12,2.8
G550,"Lemon peel, raw",usda,,,,197,47,16,1.5,0.3,4.17,10.6
G551,"Lemon grass (citronella), raw",usda,,,,414,99,25.3,1.82,0.49,0,0
G552,"Orange peel, raw",usda,,,,405,97,25,1.5,0.2,0,10.6
G554,"Ginger, ground",ukfct,,,,1208,284,60,7.4,3.3,19.8,14.1
G555,"Spices, onion powder",usda,,,,1430,341,79.1,10.4,1.04,6.63,15.2
H001,Almond (Prunus amygdalus),ifct2017,ukfct,,Nuts and oil seeds,2549,609.21,3.04,18.41,58.49,2.23,13.06
H002,"Arecanut, dried, brown (Areca catechu)",ifct2017,,,Nuts and oil seeds,1467,350.61,70.42,5.78,4.35,1.76,11.44
H003,"Arecanut, dried, red color (Areca catechu)",ifct2017,,,Nuts and oil seeds,1477,353,70.27,6.46,4.46,1.79,11.11
H004,"Arecanut, fresh (Areca catechu)",ifct2017,,,Nuts and oil seeds,1024,244.74,45,2.73,5.51,4.72,7.63
H005,Cashew nut (Anacardium occidentale),ifct2017,ukfct,,Nuts and oil seeds,2438,582.68,25.46,18.78,45.2,3.11,3.86
H006,"Coconut, kernal, dry (Cocos nucifera)",ifct2017,,,Nuts and oil seeds,2611,624.03,8.01,7.27,63.26,6.93,15.88
H007,"Coconut, kernel, fresh (Cocos nucifera)",ifct2017,ukfct,,Nuts and oil seeds,1711,408.93,6.3,3.84,41.38,6.2,10.42
H008,"Garden cress, seeds (Lepidium sativum)",ifct2017,,,Nuts and oil seeds,1863,445.26,33.66,23.36,23.74,0.91,8.27
H009,"Gingelly seeds, black (Sesamum indicum)",ifct2017,,,Nuts and oil seeds,2124,507.64,10.29,19.17,43.1,0.99,17.16
H010,"Gingelly seeds, brown (Sesamum indicum)",ifct2017,,,Nuts and oil seeds,2161,516.48,9.76,21.61,43.22,1.39,17.21
H011,"Gingelly seeds, white (Sesamum indicum)",ifct2017,,,Nuts and oil seeds,2174,519.59,10.83,21.7,43.05,0.67,16.99
H012,Ground nut (Arachis hypogea),ifct2017,ukfct,,Nuts and oil seeds,2176,520.06,17.27,23.65,39.63,4.42,10.38
H013,Mustard seeds (Brassica nigra),ifct2017,ukfct,,Nuts and oil seeds,2132,509.55,16.8,19.51,40.19,5.07,14.1
H014,Linseeds (Linum usitatissimum),ifct2017,,,Nuts and oil seeds,1857,443.82,10.99,18.55,35.67,0.6,26.17
H015,"Niger seeds, black (Guizotia abyssinica)",ifct2017,,,Nuts and oil seeds,2144,512.42,22.98,18.92,38.61,1.75,10.93
H016,"Niger seeds, gray (Guizotia abyssinica)",ifct2017,,,Nuts and oil seeds,2128,508.59,20.59,18.34,39.53,0.41,10.96
H017,Pine seed (Pinus sp.),ifct2017,ukfct,,Nuts and oil seeds,2486,594.15,26.77,12.55,48.79,4.67,3.79
H018,Pistachio nuts (Pistacla vera),ifct2017,,,Nuts and oil seeds,2257,539.42,15.82,23.35,42.49,7.9,10.64
H019,Safflower seeds (Carthamus tinctorius),ifct2017,,,Nuts and oil seeds,1981,473.46,30.18,17.66,30.87,2.67,13.49
H020,Sunflower seeds (Helianthus annuus),ifct2017,ukfct,,Nuts and oil seeds,2453,586.27,6.85,23.53,51.85,2.81,10.8
H021,Walnut (Juglans regia),ifct2017,ukfct,,Nuts and oil seeds,2809,671.35,10.14,14.92,64.27,3.22,5.39
H022,Avocadopear (nut),ifct2004,,,Nuts and oil seeds,602.5,144,32,2.5,0.7,0,0
H023,Chilgoza,ifct2004,,,Nuts and oil seeds,2573.16,615,29,13.9,49.3,0,1
H024,Coconut tender,ifct2004,,,Nuts and oil seeds,171.54,41,6.3,0.9,1.4,0,0
H025,Coconut milk,ifct2004,,,Nuts and oil seeds,1799.12,430,11.9,3.4,41,0,0
H026,Coconut water,ifct2004,,,Nuts and oil seeds,100.42,24,4.4,1.4,0.1,0,0
H027,"Coconut meal, deoiled",ifct2004,,,Nuts and oil seeds,1305.41,312,47.9,23.8,2.8,0,9.8
H028,Groundnut roasted,ifct2004,,,Nuts and oil seeds,2384.88,570,26.7,26.2,39.8,0,3.1
H029,Groundnut cake,ifct2004,,,Nuts and oil seeds,1615.02,386,38.8,40.9,7.4,0,3.2
H030,Piyal seeds,ifct2004,,,Nuts and oil seeds,2744.7,656,12.1,19,59.1,0,3.8
H031,Water melon seeds (kernal),ifct2004,,,Nuts and oil seeds,2627.55,628,4.5,34.1,52.6,0,0.8
H032,Adda seed (kernel),ifct2004,,,Nuts and oil seeds,2062.71,493,28.6,27.3,29.9,0,1.1
H033,Jungli badam,ifct2004,,,Nuts and oil seeds,0,0,0,11.4,35.5,0,0
H034,Oysternut,ifct2004,,,Nuts and oil seeds,2882.78,689,0,29.7,63.3,0,0
H035,Mango seed kernel,ifct2004,,,Nuts and oil seeds,803.33,192,35.9,2.6,4.2,0,0.9
H036,Roselle seeds,ifct2004,,,Nuts and oil seeds,1669.42,399,30.9,20.9,21.3,0,15.5
H037,Bajjar bhang,ifct2004,,,Nuts and oil seeds,1640.13,392,61.6,17.2,8.5,0,2.2
H038,Pumpkin seed,ifct2004,,,Nuts and oil seeds,2443.46,584,15.6,24.3,47.2,0,0.2
H039,Okra (whole seed),ifct2004,,,Nuts and oil seeds,0,0,0,21.1,17.9,0,23.4
H040,Okra (kernel),ifct2004,,,Nuts and oil seeds,0,0,0,38.9,36.5,0,0.8
H041,Cleome viscosa defatted seed cake,ifct2004,,,Nuts and oil seeds,0,0,0,20.4,0,0,7.2
H042,Marking nut (kernel),ifct2004,,,Nuts and oil seeds,2456.01,587,28.4,26.4,36.4,0,1.4
H500,Melon seeds,ukfct,,,,2418,583,9.9,28.5,47.7,0,0
H501,Coconut milk,ukfct,,,,95,22,4.9,0.3,0.3,4.9,0
H502,"Hazelnuts, kernel only",ukfct,,,,2685,650,6,14.1,63.5,4,6.9
H503,"Seeds, lotus seeds, dried",usda,,,,1390,332,64.5,15.4,1.97,0,0
H505,"MIXED NUTS CASHEWS, ALMONDS, HAZELNUTS, PISTACHIOS, PECANS, MIXED NUTS",usda,,,,2539.69,607,25,17.86,50,3.57,7.1
H506,Chia seeds,usda,,,,2234.26,534,28.88,18.29,42.16,1.55,27.3
H507,ALMOND MILK,usda,,,,71.13,17,0.83,0.42,1.25,0.42,0.4
H508,"Nuts, coconut water (liquid from coconuts)",usda,,,,79,19,3.71,0.72,0.2,2.61,1.1
H518,Pumpkin seeds,ukfct,,,,2345,565,15.2,24.4,45.6,1.1,0
I001,"Jaggery, cane (Saccharum officinarum)",ifct2017,,,Sugars,1480,353.72,84.87,1.85,0.16,84.32,0
I002,"Sugarcane, juice (Saccharum officinarum)",ifct2017,,,Sugars,242,57.84,13.11,0.16,0.4,12.85,0.56
I003,Sugar cane,ifct2004,,,Sugars,1665.23,398,99.4,0.1,0,0,0
I004,Honey,ifct2004,,,Sugars,1334.7,319,79.5,0.3,0,0,0
I006,Jaggery (coconut palm),ifct2004,,,Sugars,1422.56,340,83.5,1,0.2,0,0
I007,Jaggery (date palm),ifct2004,,,Sugars,1476.95,353,86.1,1.5,0.3,0,0
I008,Jaggery (fan palm),ifct2004,,,Sugars,1502.06,359,98.5,1,0.1,0,0
I009,Jaggery (sago palm),ifct2004,,,Sugars,1460.22,349,84.7,2.3,0.1,0,0
I010,Sago,ifct2004,,,Sugars,1468.58,351,87.1,0.2,0.2,0,0
I501,"Ice cream, dairy, vanilla, soft scoop",ukfct,,,,711,169,22,3.2,8.2,22,0.2
I502,"Sugar, white",ukfct,,,,1680,394,105,0,0,105,0
I503,"Sugar, brown",ukfct,,,,1623,380,101.3,0.1,0,101.3,0
I504,"Sugar, icing",ukfct,,,,1678,393,104.9,0,0,103.8,0
I505,"Syrup, corn, dark",ukfct,,,,1181,282,76.6,0,0,28.1,0
I507,Honey,ukfct,,,,1229,288,76.4,0.4,0,76.4,0
I508,"Sago, raw",ukfct,,,,1515,355,94,0.2,0.2,0,0
I509,"Chocolate, plain",ukfct,,,,2137,510,63.5,5,28,62.6,0
I510,"Candies, gum drops, no sugar or low calorie (sorbitol)",usda,,,,1480,354,88.1,0,0.2,70,0
I511,"TUTTI FRUTTI GUMBALLS, TUTTI FRUTTI",usda,,,,2092,500,100,0,0,66.67,0
J001,"Button mushroom, fresh (Agaricus sp.)",ifct2017,,,Mushrooms,115,27.49,1.98,3.68,0.42,0.1,3.11
J002,"Chicken mushroom, fresh (Lactiporus sp.)",ifct2017,,,Mushrooms,89,21.27,2.76,1.84,0.25,0.1,1.99
J003,"Shiitake mushroom, fresh (Lentinula sp.)",ifct2017,,,Mushrooms,243,58.08,8.98,3.19,0.76,0.2,3.02
J004,"Oyster mushroom, dried (Pleurotus sp.)",ifct2017,,,Mushrooms,1019,243.54,33.07,19.04,2.86,0.68,39.12
K001,Toddy (Borassus flabellifer),ifct2017,,,Miscellaneous foods,101,24.14,5.72,0.18,0.03,5.73,0
K002,Coconut Water (Cocos nucifera),ifct2017,,,Miscellaneous foods,64,15.3,3.16,0.26,0.16,3.06,0
K003,Pachwai (assam),ifct2004,,,Miscellaneous foods,213.38,51,5.8,3,1.8,0,0.6
K004,"Toddy, fermented",ifct2004,,,Miscellaneous foods,158.99,38,1.8,0.1,0.3,0,0
K005,"Toddy, sweet",ifct2004,,,Miscellaneous foods,246.86,59,14.3,0.1,0.3,0,0
K006,Neera,ifct2004,,,Miscellaneous foods,188.28,45,10.9,0.4,0,0,0
K500,Baking powder,ukfct,,,,693,163,37.8,5.2,0,0,0
K501,Bicarbonate of soda,ukfct,,,,0,0,0,0,0,0,0
K502,"Spirits, 40% volume",ukfct,,,,919,222,0,0,0,0,0
K503,Custard powder,ukfct,,,,1508,354,92,0.6,0.7,0,0
K504,Gelatine,ukfct,,,,1435,338,0,84.4,0,0,0
K505,"Water, distilled",ukfct,,,,0,0,0,0,0,0,0
K506,"Stock cubes, chicken",ukfct,,,,0,0,0,15.4,15.4,0,0.6
K507,"Stock cubes, vegetable",ukfct,,,,0,0,0,13.5,17.3,0,1.8
L001,"Milk, whole, Buffalo",ifct2017,,,Milk and milk products,449,107.31,8.39,3.68,6.58,5.34,0
L002,"Milk, whole, Cow",ifct2017,,,Milk and milk products,305,72.9,4.94,3.26,4.48,4.89,0
L003,Paneer,ifct2017,,,Milk and milk products,1079,257.88,12.41,18.86,14.78,11.57,0
L004,Khoa,ifct2017,,,Milk and milk products,1322,315.96,16.53,16.34,20.62,16.14,0
L005,Milk ass's,ifct2004,,,Milk and milk products,200.83,48,6.5,2.1,1.5,0,0
L006,Milk goat's,ifct2004,,,Milk and milk products,301.25,72,4.6,3.3,4.5,0,0
L007,Milk human,ifct2004,,,Milk and milk products,271.96,65,7.4,1.1,3.4,0,0
L008,Curds (cow's milk),ifct2004,,,Milk and milk products,251.04,60,3,3.1,4,0,0
L009,Butter milk,ifct2004,,,Milk and milk products,62.76,15,0.5,0.8,1.1,0,0
L010,"Skimmed milk, liquid",ifct2004,,,Milk and milk products,121.34,29,4.6,2.5,0.1,0,0
L011,"Channa, cow's milk",ifct2004,,,Milk and milk products,1108.76,265,1.2,18.3,20.8,0,0
L012,"Channa, buffalo's milk",ifct2004,,,Milk and milk products,1221.73,292,7.9,13.4,23,0,0
L013,Cheese,ifct2004,,,Milk and milk products,1456.03,348,6.3,24.1,25.1,0,0
L014,Khoa (whole buffalo milk),ifct2004,,,Milk and milk products,1761.46,421,20.5,14.6,31.2,0,0
L015,Khoa (skimmed buffalo milk),ifct2004,,,Milk and milk products,861.9,206,25.7,22.3,1.6,0,0
L016,Skimmed milk powder (cow's milk),ifct2004,,,Milk and milk products,1493.69,357,51,38,0.1,0,0
L017,Whole milk powder (cow's milk),ifct2004,,,Milk and milk products,2075.26,496,38,25.8,26.7,0,0
L500,"Cheese, Cheddar, English",ukfct,,,,1725,416,0.1,25.4,34.9,0.1,0
L501,"Cheese spread, cream cheese, regular",usda,,,,1234.28,295,3.5,7.1,28.6,3.5,0
L502,"Cheese, cottage, plain",ukfct,,,,431,103,3.1,9.4,6,3.1,0
L503,"Cheese, Mozzarella, fresh",ukfct,,,,1067,257,0,18.6,20.3,0,0
L505,"Cheese, processed, plain",ukfct,,,,1234,297,5,17.8,23,5,0
L506,"Cheese, Feta",ukfct,,,,1037,250,1.5,15.6,20.2,1.5,0
L507,"Mayonnaise, standard, retail",ukfct,,,,2824,686,2.4,1.1,74.8,2.4,0
L508,"Milk, condensed, whole, sweetened",ukfct,,,,1310,310,55.5,7.4,8,55.5,0
L509,"Milk, evaporated, light",ukfct,,,,449,107,10.3,7.8,4.1,10.3,0
L510,"Milk, skimmed, dried, fortified",ukfct,,,,1482,348,52.9,36.1,0.6,52.9,0
L511,"Cheese, Ricotta",ukfct,,,,599,144,2,9.4,11,2,0
L512,"Cream, fresh, whipping",ukfct,,,,1568,381,2.7,2,40.3,2.7,0
L513,"Cheese, provolone",usda,,,,1470,351,2.14,25.6,26.6,0.56,0
L514,"Sour cream, regular",usda,,,,828.43,198,4.63,2.44,19.35,3.41,0
L515,"Cream, fluid, light (coffee cream or table cream)",usda,,,,815,195,3.66,2.96,19.1,3.67,0
L516,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",usda,,,,1520,362,52,36.2,0.77,52,0
L517,"Whey, acid, fluid",usda,,,,100,24,5.12,0.76,0.09,5.12,0
L518,"Cheese, cream, low fat",usda,,,,66.7,208,6.73,7.85,16.7,3.3,0
L519,"Cream, fresh, single",ukfct,,,,798,193,2.2,3.3,19.1,2.2,0
L520,"Yogurt, whole milk, plain",ukfct,,,,333,79,7.8,5.7,3,7.8,0
L521,"Milk, buttermilk, fluid, whole",usda,,,,260,62,4.88,3.21,3.31,4.88,0
M001,"Egg, poultry, whole, raw",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,564,134.8,0,13.28,9.15,0,0
M002,"Egg, poultry, white, raw",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,187,44.69,0,10.84,0.06,0,0
M003,"Egg, poultry, yolk, raw",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,1242,296.84,0,15.74,26.34,0,0
M004,"Egg, poultry, whole, boiled",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,618,147.7,0,13.43,10.54,0,0
M005,"Egg, poultry, white, boiled",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,220,52.58,0,12.37,0.26,0,0
M006,"Egg, poultry, yolk, boiled",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,1290,308.31,0,16.13,27.46,0,0
M007,"Egg, poultry, omlet",ifct2017,,"Meat, Poultry, Eggs",Egg and egg products,710,169.69,0,16.53,11.6,0,0
M008,"Egg, country hen, whole, raw",ifct2017,,"Meat, Poultry, Eggs",Egg and egg products,704,168.26,0,13.14,13,0,0
M009,"Egg, country hen, whole, boiled",ifct2017,,"Meat, Poultry, Eggs",Egg and egg products,767,183.31,0,14.43,14.1,0,0
M010,"Egg, country hen, omlet",ifct2017,,"Meat, Poultry, Eggs",Egg and egg products,855,204.35,0,14.8,16.3,0,0
M011,"Egg, duck, whole, boiled",ifct2017,,"Meat, Poultry, Eggs",Egg and egg products,738,176.38,0,13.8,13.61,0,0
M012,"Egg, duck, whole, raw",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,760,181.64,0,14.6,13.83,0,0
M013,"Egg, duck, whole, omlet",ifct2017,,"Meat, Poultry, Eggs",Egg and egg products,804,192.16,0,15.1,14.8,0,0
M014,"Egg, quial, whole, raw",ifct2017,ukfct,"Meat, Poultry, Eggs",Egg and egg products,635,151.77,0,12.39,11.46,0,0
M015,"Egg, quial, whole, boiled",ifct2017,,"Meat, Poultry, Eggs",Egg and egg products,647,154.63,0,13.03,11.5,0,0
M016,"Egg, turtle",ifct2004,,,Egg and egg products,518.82,124,3.6,12.2,6.7,0,0
N001,"Chicken, poultry, leg, skinless",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,1605,383.6,0,19.44,12.64,0,0
N002,"Chicken, poultry, thigh, skinless",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,836,199.8,0,18.18,14.23,0,0
N003,"Chicken, poultry, breast, skinless",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,704,168.26,0,21.81,9,0,0
N004,"Chicken, poultry, wing, skinless",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,807,192.87,0,17.42,13.81,0,0
N005,"Poultry, chicken, liver",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,518,123.8,0,21.57,4.08,0,0
N006,"Poultry, chicken, gizzard",ifct2017,,"Meat, Poultry, Eggs",Poultry,386,92.25,0,18.22,2.07,0,0
N007,"Country hen, leg, with skin",ifct2017,,"Meat, Poultry, Eggs",Poultry,723,172.8,0,17.01,11.73,0,0
N008,"Country hen, thigh, with skin",ifct2017,,"Meat, Poultry, Eggs",Poultry,785,187.62,0,18.29,12.82,0,0
N009,"Country hen, breast, with skin",ifct2017,,"Meat, Poultry, Eggs",Poultry,753,179.97,0,22.08,10.2,0,0
N010,"Country hen, wing, with skin",ifct2017,,"Meat, Poultry, Eggs",Poultry,764,182.6,0,18.65,12.09,0,0
N011,"Duck, meat, with skin",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,547,130.73,0,19.07,6.03,0,0
N012,"Emu, meat, skinless",ifct2017,,"Meat, Poultry, Eggs",Poultry,556,132.88,0,22.65,4.62,0,0
N013,"Guinea fowl, meat, with skin",ifct2017,,"Meat, Poultry, Eggs",Poultry,469,112.09,0,20.52,3.24,0,0
N014,"Pigeon, meat, with skin",ifct2017,,"Meat, Poultry, Eggs",Poultry,528,126.19,0,17.94,6.03,0,0
N015,"Quail, meat, skinless",ifct2017,,"Meat, Poultry, Eggs",Poultry,576,137.66,0,20.92,5.95,0,0
N016,"Turkey, leg, with skin",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,647,154.63,0,20.3,8.15,0,0
N017,"Turkey, thigh, with skin",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,581,138.86,0,20.46,6.31,0,0
N018,"Turkey, breast, with skin",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,671,160.37,0,21.96,8.04,0,0
N019,"Turkey, wing, with skin",ifct2017,ukfct,"Meat, Poultry, Eggs",Poultry,771,184.27,0,21.91,10.77,0,0
N020,Buffalo meat,ifct2004,,,Animal meat,359.82,86,0,19.4,0.9,0,0
N021,Finch,ifct2004,,,Animal meat,556.47,133,0,26.6,3,0,0
N022,Fowl,ifct2004,,,Animal meat,456.06,109,0,25.9,0.6,0,0
